RANK	2025  MOCK DRAFTS	S	M	P
1	Nick Jacobs - KSHB-TV	52	12	28
1	Cory Rindone - The Huddle Report	52	12	28
3	Jason Boris - Times News	51	11	29
4	Jared Smola - DraftSharks	49	10	29
5	Antonello Di Filippo - BetItaliaWeb	48	10	28
5	Joe Baider - Legit Football	48	10	28
5	Ron Stewart - Youtube	48	10	28
8	Scott Smith - 4for4	48	9	30
9	Dan Hope - Eleven Warriors	47	10	27
9	Theo Gremminger - Fantasy Points 	47	10	27
9	Mel Kiper Jr - ESPN	47	10	27
9	Todd McShay - The McShay Report	47	10	27
13	Brendan Donahue - Sharp Football Analysis	46	9	28
13	Kevin Hanson - Eat Drink & Sleep Football	46	9	28
13	Mark Niemi - The Huddle Report	46	9	28
13	Warren Hauck - Drafttek	46	9	28
17	Brett Clancy - Drafttek	45	10	25
18	Andrew Erickson - FantasyPros	45	9	27
18	Frank Williams - The Huddle Report	45	9	27
18	Sam Teets - Sports Talk with Sam Teets	45	9	27
18	Sean Balzer - NFL Draft Lounge	45	9	27
22	Dan Bilicki - Toronto Sun	44	9	26
22	David P. Woods - theScore	44	9	26
22	Jaime Eisner - The Draft Network	44	9	26
25	Benji Klotz - Touchdown Squad	44	8	28
26	Josh Greene - Fox Sports Spartanburg	44	8	28
27	Ben Wasley - The Fantasy First Down	43	8	27
27	Brandon Murchison - Rotoballer	43	8	27
27	Brian Johannes - The Huddle Report	43	8	27
27	Clevta - Clevanalytics	43	8	27
27	Forrest N Long - TheHuddle Report	43	8	27
27	Josh Norris - Underdog	43	8	27
27	Kyle Crabbs - The 33rd Team	43	8	27
27	Matthew Freedman - Fantasy Life	43	8	27
27	Michael Levitsky - The Future	43	8	27
27	Peter Clarke - The Huddle Report	43	8	27
27	Rob Staton - Seahawks Draft Blog	43	8	27
27	Ryan Noonan - 4for4	43	8	27
27	Ryan Towles - The Huddle Report	43	8	27
27	Trevor Sikkema - PFF	43	8	27
41	Gabe Kamins - Drafttek	42	8	26
41	Pat Fitzmaurice - FantasyPros	42	8	26
43	Daniel Jeremiah - NFL Network	42	7	28
43	Peter Schrager - NFL Network	42	7	28
43	Scott Atkins - Fulltime Fantasy	42	7	28
46	Brian Phlipot - The Football Hub	41	8	25
46	Ryan Wilson - CBS Sports	41	8	25
48	Brett Whitefield - Fantasy Points	41	7	27
48	Dan Wilkins - theScore	41	7	27
48	Dustin Ludke - Fantasy Advice Network	41	7	27
48	Eric Galko - Optimum Scouting	41	7	27
48	Jeff Bell - Footballguys	41	7	27
48	Jeremy Bissett - The Bissett Perspective	41	7	27
48	John Daigle - Establish The Run	41	7	27
48	Jonathan Cook - The Huddle Report	41	7	27
48	Los Angeles Times - Beat Writers	41	7	27
48	Matthew Jones - FantasyPros	41	7	27
48	Michael Lisman - Against The Blitz	41	7	27
48	Nate Bouda - NFL Trade Rumors	41	7	27
48	Randall Slifer - NBS Media	41	7	27
48	Tony Martone - The Future	41	7	27
62	Doug Martz - Draft Board Guru	41	6	29
62	Kennedy Paynter - Drafttek	41	6	29
62	Ross Jacobs - Fantasy Football Metrics	41	6	29
65	Alex Katson - Two Gap	40	7	26
65	Anthony Macari - Pro Football War Room	40	7	26
65	Christian Williams - The Devy Royale	40	7	26
65	Lucas Pohl - The Huddle Report	40	7	26
65	Matt Kelley - PlayerProfiler	40	7	26
65	Roy Countryman - Big Country Scouting	40	7	26
65	Walt Deptula - The Roar FM	40	7	26
72	Connor Rogers - NBC Sports	40	6	28
72	Florian Hallach - Halil's Real Football Talk	40	6	28
72	Hayden Winks - Underdog Fantasy	40	6	28
72	James Fedewa - National Fanatic	40	6	28
72	Mark Ringo - Sleepers and Bust	40	6	28
72	Michael Delaney - The Huddle Report	40	6	28
72	Pete Domínguez - Mundo NFL	40	6	28
72	Ryan McCrystal - Draft Ace	40	6	28
72	Kyle Lindemann - Gridiron Ratings	40	6	28
81	George Carmi - The Big Doug & Carmi Show 	39	7	25
82	Ben Standig - The Athletic	39	6	27
82	Bengal - YouTube “Bengal”	39	6	27
82	Cody Carpentier - RosterWatch	39	6	27
82	Dan Kornhauser - The Grueling Truth	39	6	27
82	Enoch Autry - The Clayton Tribune	39	6	27
82	Jay Arsht - High Floor Football	39	6	27
82	Jonah Anderson - Draft Dive	39	6	27
82	Joshua Gleason - Raiders Reporter	39	6	27
82	Kent Weyrauch - FantasyPros	39	6	27
82	Lou Pickney - Mock Draft NFL	39	6	27
82	Tom Downey - Chat Sports	39	6	27
82	Xavier Cromartie - Fantasy Football Metrics	39	6	27
94	Eddie Brown - San Diego Union Tribune	39	5	29
95	Cam Marino - NFL Draft Buzz	38	6	26
95	Connor Allen- 4for4	38	6	26
95	JP Miguel - 10Jardas	38	6	26
95	Kyle Fellows - The Draft Fellows	38	6	26
95	Matt Brandon - Fantasy On SI	38	6	26
95	Mike Luchene - NFL Rough Draft	38	6	26
95	Ryan Krauchick - The Huddle Report	38	6	26
102	Brentley Weissman- PFSN	38	5	28
102	David Payne - DraftTek	38	5	28
102	Dylan Chappine - Wolf Sports	38	5	28
102	Jimmy Kempski - PhillyVoice	38	5	28
102	JT Olson - Bucs Report	38	5	28
102	Lance Zierlein - NFL.com	38	5	28
102	Matthew Betz - The Fantasy Footballers	38	5	28
102	Nick Barrett - Football Nick	38	5	28
102	Sean Green - SGPN	38	5	28
102	Shawn Baptist - The Huddle Report	38	5	28
112	Eric Edholm - NFL.Com	37	6	25
112	Michael Campbell - The Draft Zone	37	6	25
114	Anthony Amico - In the Aggregate	37	5	27
114	Bill Dow - NFL Draft Shark	37	5	27
114	Drew Boylhart - The Huddle Report	37	5	27
114	Jason Pruett - DRAFTPLEX	37	5	27
114	Jody Smith - FullTime Fantasy	37	5	27
114	Michael Middlehurst-Schwartz - USA Today	37	5	27
114	Newt Westen - 0-Tech Draft	37	5	27
114	Sam Farmer - Los Angeles Times	37	5	27
114	Michael Marino - The Huddle Report	37	5	27
123	Hunter Ansley - Drafticipation	37	4	29
123	Lukas Berry - BLEAV 	37	4	29
125	Andrew Mertig - The Draft Fellows	36	5	26
125	Brandon Semerod - BS Football	36	5	26
125	Brian McFadden - Legit Football 	36	5	26
125	Joe Marino - Locked on NFL Scouting	36	5	26
125	Julian Rubalcaba - The Rap Up	36	5	26
125	Mike Band - Next Gen Stats/RosterWatch	36	5	26
125	Nathan Cooper - Sports Info Solutions	36	5	26
125	Paul Emery - The UK Draft Fan Blog	36	5	26
125	Russell Brown - FantasyPros / LionsWire	36	5	26
125	Nick Chioccos - Nicholas’s Substack	36	5	26
134	Andrew Lalama - RotoBaller	36	4	28
134	Shane P. Hallam - Draft Sharks	36	4	28
137	Alex Ayers - The Sunday Slate	35	5	25
137	Collin Haalboom - SI / Bucs Gameday	35	5	25
137	Matt Bitonti - Footballguys	35	5	25
137	Ray Garvin - Ray Garvin YouTube	35	5	25
141	Alex Dunlap - RosterWatch	35	4	27
141	Buddy Mangine - Drafttek	35	4	27
141	Frank Coyle - Draft Insiders	35	4	27
141	Ryan Kramer - Sports Gambling Podcast	35	4	27
145	Brian Lamb - Draft Countdown	34	5	24
146	Andrew Duhan - Fantasy Football Metrics	34	4	26
146	Ethan Woodie - NFL Trade Rumors	34	4	26
146	Justin Melo - The Draft Network	34	4	26
146	Lincoln Glymph - DefyLife	34	4	26
146	Mark Morales-Smith - FantasySp	34	4	26
146	Matt De Lima - Dr. Roto	34	4	26
146	Mike Mihalovich Couch Scout	34	4	26
146	Ric Serritella - NFL Draft Bible	34	4	26
146	Robby Esch - The Huddle Report	34	4	26
146	Thor Nystrom - Fantasy Life	34	4	26
146	Tyler Forness - A TO Z Sports	34	4	26
157	Owen McCullor- The Weekly Huddle	33	5	23
158	Benjamin Robinson - Grinding the Mocks	33	4	25
158	Scott Carasik - ScarDraft	33	4	25
160	Brad Menendez - Draft Countdown	33	3	27
160	Logan Ulrich - NFL Trade Rumors	33	3	27
160	Mike Randle - FTN	33	3	27
160	Rob Rang - FOX Sports.com	33	3	27
164	Jim Wickens - Draft Professor	32	5	22
165	Chris Collinsworth - PFF	32	4	24
166	Alex Boylhart - The Huddle Report	32	3	26
166	KC Proctor - The Sunday Slate	32	3	26
166	PJ Moran - Eepiblogue	32	3	26
166	Ray Mencio - NFL Rough Draft	32	3	26
170	Dustin Brown - Fantasy Football Healers	31	4	23
171	Brian Bosarge - Draft Countdown	31	3	25
171	Jeremy Greene - ESPN Radio Asheville	31	3	25
173	David Neisz - Philly Sports Network	30	2	26
174	Bill Sparks - TWSN	27	2	23
